id,type,caption.bold,caption.colour,caption.height,caption.location,caption.panel.border.type,caption.panel.colour,caption.panel.opacity,caption.panel.type,fill.colour,fill.hatch.colour,fill.hatch.spacing,fill.hatch.width,fill.opacity,fill.type,"line.back colour","line.back line",line.colour,line.dash,line.dot,line.gap,line.left.type,line.right.type,line.type,line.width,name,"size on ground",symbol.colour,symbol.size,symbol.type,text.colour,text.effect,text.font
0,polygon,yes,,1.50,,,,,none,,16777215,,,0,empty,,,255,,,,,,,0.10,000,,,,,,,
1,polygon,yes,,2.50,,none,16777215,100,,,16777215,,,0,empty,,,,,,,,,,0.80,"Property boundary",,,,,,,
2,polygon,yes,,4.000000,,none,16777215,100,,,16777215,,,0,empty,white:100,yes,,2.70,0.90,1.000000,,,"dot dash",0.60,Compartment,,,,,,,
3,polygon,yes,12582912,2.400000,,,,,none,,49152,,,0,empty,white:100,yes,,2.00,,1.50,,,dashed,0.35,Sub-Cmpt,,,,,,,
4,polygon,yes,,7.00,,,,,none,,16777215,,,0,empty,,,,,0.50,0.80,,,dots,0.40,Sub-Sub-Cmpt,yes,,,,,,
5,polygon,,,1.70,,,,,none,15138790,16777215,,,80,solid,,,,2.00,,1.50,,,dashed,0.10,"Woodland colour",,,,,,,
6,polygon,,,,"no label",,,,,15925247,65535,,,80,solid,,,,2.00,,1.50,,,dashed,0.10,OG,,,,,,,
7,polygon,,,1.50,,,,,none,12648447:54,,,,,solid,,,,,,,,,,0.10,"Bare Ground BG",,,,,,,
8,polygon,,,1.50,,,,,none,4259712,,,,,solid,,,,,,,,,,0.10,"Scots Pine SP",,,,,,,
9,polygon,,yellow,1.50,,,,,none,32768,,,,,solid,,,,,,,,,,0.10,"Lodgepole Pine LP",,,,,,,
10,polygon,,,1.50,,,,,none,60415:100,,,,,solid,,,,,,,,,,0.10,"Larch JL/EL/HL",,,,,,,
11,polygon,,,1.50,,,,,none,12615744,,,,,solid,,,,,,,,,,0.10,"Sitka Spruce SS",,,,,,,
12,polygon,,,1.50,,,,,none,8437952,,,,,solid,,,,,,,,,,0.10,"Norway Spruce NS",,,,,,,
13,polygon,,,1.50,,,,,none,12632319,,,,,solid,,,,,,,,,,0.10,"Noble Fir NF",,,,,,,
14,polygon,,,1.50,,,,,none,8421631,,,,,solid,,,,,,,,,,0.10,"Douglas Fir DF",,,,,,,
15,polygon,,,1.50,,,,,none,8421568,,,,,solid,,,,,,,,,,0.10,"Grand Fir GF",,,,,,,
16,polygon,,,1.50,,,,,none,4227264,,,,,solid,,,,,,,,,,0.10,"Mixd Broadleaves MB",,,,,,,
17,polygon,,,1.50,,,,,none,12615744,4259712,4.00,1.00,60,"left hatch",,,,,,,,,,0.10,"Sitka/Scots Mix SSM",,,,,,,
18,polygon,,,1.50,,,,,none,12615744,32768,4.00,1.00,60,"vertical hatch",,,,,,,,,,0.10,"Sitka/Lodgepole MixSLM",,,,,,,
19,polygon,,,1.50,,,,,none,12615744,65535,4.00,1.00,60,"right hatch",,,,,,,,,,0.10,"Sitka/Larch Mix SJM",,,,,,,
20,polygon,,,1.50,,,,,none,12615744,8437952,4.00,1.00,60,"vertical hatch",,,,,,,,,,0.10,"Sitka/Norway Mix SNM",,,,,,,
21,polygon,,,1.50,,,,,none,8437952,4259712,4.00,1.00,60,"left hatch",,,,,,,,,,0.10,"Norway/Scots Mix NSM",,,,,,,
22,polygon,,,1.50,,,,,none,32768,4259712,4.00,1.00,60,"right hatch",,,,,,,,,,0.10,"Lodgepole/Scots Mix LSM",,,,,,,
23,polygon,,,1.50,,,,,none,65535,4259712,4.00,1.00,60,"vertical hatch",,,,,,,,,,0.10,"Larch/Scots Mix ESM",,,,,,,
24,polygon,,,1.50,,,,,none,,0,,,0,"left hatch",,,,,,,,,,0.10,LTR,,,,,,,
10007,line,,,,,,,,,,,,,,,,,white:100,,,,dashed,dashed,,1.000000,Track,,,,,,,
10008,line,,,,,,,,,,,,,,,,,49407:100,,,,solid,solid,,1.000000,Road,,,,,,,
10009,line,,,,,,,,,,,,,,,,,16744448:100,,,,,,solid,0.700000,"Burn or Stream",,,,,,,
10010,line,,,,,,,,,,,,,,,,,,,,,,,"dot dash",,"Transmission line",,,,,,,
20011,point,,,,,,,,,,,,,,,,,,,,,,,,,"Entrance Symbol",,red:100,7.000000,"narrow arrow 50%",,,
20012,point,,,,,,yellow:100,,,,,,,,,,,,,,,,,,,"Centre coordinate",,,,cross,,,
20013,point,,,,,,yellow:100,,,,,,,,,,,,,,,,,,,"Target Note",,,,target,,,
30001,text,,,,,,,,,,,,,,,,,,,,,,,,,"Text 1",,,,,,,Calibri
30002,text,,,,,,,,,,,,,,,,,,,,,,,,,"Text 2",,,,,12599296:100,"hard halo",
